Position_X,Position_Y,Position_Z,Rotation_Roll,Rotation_Pitch,Rotation_Yaw,Speed
183.994522,117.084618,15.074593,0.000000,0.000000,0.000000,0.000000
184.024536,117.074860,15.084624,0.014832,0.097412,359.909149,2.023093
184.058228,117.067924,15.089745,0.026672,0.175964,359.835938,3.950566
184.120102,117.072754,15.105800,0.017853,0.285339,359.766663,8.280833
184.166992,117.069870,15.131927,0.005676,0.345276,359.708008,10.610234
184.202408,117.066460,15.163700,359.984039,0.401855,359.647369,13.382365
184.230637,117.063744,15.189023,359.966766,0.446899,359.599030,16.117466
184.263840,117.064720,15.219702,359.944000,0.476959,359.556915,19.576693
184.296005,117.065155,15.263429,359.937805,0.488220,359.504120,20.987934
184.313904,117.061104,15.313078,359.945862,0.523376,359.441101,23.496376
184.336838,117.059013,15.353482,359.952362,0.551819,359.390076,24.572559
184.345718,117.053131,15.402021,359.956268,0.611206,359.331573,30.821537
184.343781,117.040497,15.453049,359.945221,0.687134,359.268311,30.109900
184.342041,117.029175,15.498777,359.935272,0.755157,359.211609,30.116816
184.355667,117.015205,15.571140,359.932281,0.798828,359.144989,38.396915
184.356583,116.998146,15.640997,359.906982,0.884674,359.069885,41.264851
184.358734,116.979736,15.724728,359.872498,0.991791,359.037506,44.491722
184.360535,116.964348,15.794742,359.843628,1.081360,359.010406,49.016525
184.365784,116.941597,15.893192,359.852448,1.184601,358.977051,50.000000
184.367813,116.908165,16.007925,359.919922,1.316559,358.908081,50.000000
184.357239,116.877380,16.123102,359.962036,1.492554,358.823853,50.000000
184.348984,116.853355,16.212978,359.994720,1.629944,358.758209,50.000000
184.321289,116.848038,16.346558,0.047974,1.840149,358.705261,50.000000
184.299484,116.843849,16.451670,0.089722,2.005585,358.663727,50.000000
184.272369,116.854332,16.572931,0.136169,2.174744,358.642365,50.000000
184.249573,116.863144,16.674858,0.175171,2.316925,358.624512,50.000000
184.226517,116.860191,16.824026,0.255493,2.419769,358.629120,50.000000
184.208786,116.857674,16.972446,0.328949,2.513824,358.633453,50.000000
184.195557,116.855789,17.083256,0.383789,2.584045,358.636749,50.000000
184.171646,116.863564,17.177458,0.443390,2.617767,358.649780,50.000000
184.129669,116.874596,17.286915,0.540192,2.724060,358.614410,50.000000
184.095993,116.883446,17.374733,0.617828,2.809387,358.586151,50.000000
184.056671,116.888847,17.475065,0.664948,2.927551,358.526276,50.000000
184.021179,116.886284,17.566231,0.696045,3.053284,358.475952,50.000000
183.999863,116.881264,17.654850,0.720764,3.147369,358.444885,50.000000
183.982101,116.877083,17.728680,0.741333,3.225739,358.419006,50.000000
183.968796,116.873947,17.784006,0.756714,3.284485,358.399628,50.000000
183.957474,116.871284,17.831057,0.769775,3.334473,358.383179,50.000000
183.960571,116.856445,18.041845,0.817657,3.515869,358.391663,50.000000
183.963882,116.845985,18.201454,0.850800,3.641296,358.397614,50.000000
183.981277,116.823090,18.380194,0.886047,3.768860,358.415283,50.000000
184.011444,116.799706,18.569899,0.891571,3.892242,358.428192,50.000000
184.035797,116.786476,18.715572,0.874451,3.938629,358.425415,50.000000
184.061584,116.772469,18.869780,0.856293,3.987732,358.422455,50.000000
184.086990,116.767029,18.989191,0.833405,4.052277,358.439362,50.000000
184.106125,116.760979,19.099007,0.793976,4.143524,358.445587,50.000000
184.122040,116.755951,19.190372,0.761200,4.219452,358.450714,50.000000
184.141068,116.752190,19.289555,0.721283,4.314636,358.440033,50.000000
184.181198,116.751900,19.463568,0.669098,4.406311,358.423920,50.000000
184.211899,116.751678,19.596661,0.629150,4.476410,358.411530,50.000000
184.241379,116.731148,19.805687,0.593475,4.508331,358.372223,50.000000
184.267212,116.717094,19.975985,0.556488,4.572662,358.361969,50.000000
184.286774,116.707237,20.102903,0.532440,4.614441,358.355286,50.000000
184.310440,116.691093,20.247543,0.546143,4.703613,358.362335,50.000000
184.336533,116.677551,20.371840,0.641632,4.839417,358.367035,50.000000
184.358307,116.666245,20.475603,0.721375,4.952789,358.371155,50.000000
184.385010,116.658058,20.604425,0.884460,5.081512,358.370239,50.000000
184.418610,116.665527,20.742365,0.975922,5.184448,358.379059,50.000000
184.458023,116.672081,20.875896,1.032562,5.273071,358.391632,50.000000
184.495453,116.677101,21.005970,1.080139,5.347504,358.402252,50.000000
184.526581,116.681274,21.114182,1.119720,5.409393,358.411133,50.000000
184.545578,116.684196,21.204433,1.146057,5.465515,358.419006,50.000000
184.561127,116.694016,21.320827,1.179962,5.513397,358.431641,50.000000
184.578705,116.714867,21.463776,1.228943,5.546722,358.452393,50.000000
184.597595,116.732735,21.605465,1.270111,5.574707,358.469849,50.000000
184.612869,116.764473,21.724520,1.304474,5.586731,358.501129,50.000000
184.625580,116.790878,21.823553,1.333038,5.596680,358.527161,50.000000
184.647049,116.827103,21.925833,1.352661,5.604828,358.565521,50.000000
184.653671,116.873001,22.035894,1.391693,5.606110,358.587555,50.000000
184.658081,116.924355,22.144970,1.421509,5.605713,358.600952,50.000000
184.654938,116.978233,22.232786,1.431885,5.591370,358.613037,50.000000
184.637329,117.035187,22.309618,1.441284,5.592773,358.606201,50.000000
184.622574,117.082909,22.374002,1.449127,5.593933,358.600464,50.000000
184.609924,117.127151,22.442305,1.453156,5.605713,358.597168,50.000000
184.599274,117.164406,22.499809,1.456573,5.615662,358.594391,50.000000
184.594498,117.204330,22.549641,1.487244,5.642273,358.611755,50.000000
184.592026,117.240303,22.604633,1.512299,5.664032,358.625946,50.000000
184.594238,117.293991,22.669870,1.528198,5.661377,358.640381,50.000000
184.591553,117.358658,22.737043,1.527100,5.655212,358.654144,50.000000
184.608322,117.428871,22.795824,1.479248,5.671570,358.687469,50.000000
184.621033,117.482117,22.840399,1.442993,5.683990,358.712738,50.000000
184.643280,117.551468,22.908997,1.416138,5.699371,358.734344,50.000000
184.664490,117.630539,22.977230,1.396393,5.717224,358.745117,50.000000
184.686203,117.715637,23.037504,1.381348,5.738556,358.748779,50.000000
184.704041,117.785500,23.086985,1.368988,5.756073,358.751770,50.000000
184.712891,117.866798,23.132771,1.360168,5.760284,358.743073,50.000000
184.722229,117.940399,23.183617,1.353119,5.763641,358.736145,50.000000
184.733521,118.042877,23.226860,1.325531,5.815216,358.711487,50.000000
184.764862,118.170700,23.265844,1.281372,5.913544,358.692902,50.000000
184.793274,118.284760,23.309109,1.246155,5.991882,358.678040,50.000000
184.814301,118.383614,23.331362,1.195770,6.060944,358.664337,50.000000
184.826431,118.467186,23.342388,1.145599,6.128571,358.647369,50.000000
184.836624,118.537407,23.351652,1.103455,6.185425,358.633057,50.000000
184.846756,118.648415,23.373358,1.082764,6.266083,358.585999,50.000000
184.856918,118.772194,23.392683,1.055084,6.333588,358.538269,50.000000
184.874710,118.928711,23.403669,1.008026,6.402588,358.476074,50.000000
184.910706,119.079964,23.406761,0.908752,6.471436,358.435577,50.000000
184.945251,119.225677,23.416777,0.825043,6.529419,358.401306,50.000000
184.976135,119.353470,23.425602,0.736877,6.618591,358.336700,50.000000
185.001480,119.458359,23.432846,0.664459,6.691681,358.283539,50.000000
185.033386,119.576004,23.429983,0.570526,6.906921,358.176697,50.000000
185.063431,119.688377,23.431265,0.494629,7.080017,358.090424,50.000000
185.087021,119.836342,23.415400,0.357788,7.277039,358.000092,50.000000
185.097015,119.942116,23.383020,0.192993,7.384247,357.939056,50.000000
185.106964,120.070686,23.337353,359.927307,7.480286,357.873871,50.000000
185.118912,120.198097,23.299446,359.707581,7.559448,357.819641,50.000000
185.133896,120.321793,23.249989,359.450623,7.637604,357.796570,50.000000
185.141525,120.420395,23.191605,359.213806,7.681030,357.782379,50.000000
185.145691,120.520622,23.129232,359.012207,7.694794,357.781921,50.000000
185.152054,120.623566,23.073956,358.841400,7.706451,357.781494,50.000000
185.160538,120.732750,22.998175,358.598907,7.653168,357.841888,50.000000
185.167419,120.821350,22.936678,358.402100,7.610138,357.891083,50.000000
185.166122,120.946983,22.829985,358.048767,7.363495,358.010773,50.000000
185.180496,121.104118,22.700535,357.748535,7.167206,358.165192,50.000000
185.191544,121.224770,22.601139,357.517731,7.017029,358.284424,50.000000
185.203705,121.345490,22.512041,357.324799,6.891968,358.384430,50.000000
